4_14_2 - 5_14_3
Input-Output Pair 0: [Failure revealed! (not pass threshold), 18 - ['mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_1.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_10.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_2.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_3.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_4.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_5.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_6.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_7.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_8.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_9.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_1.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_2.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_3.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_4.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_6.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_7.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_8.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_9.txt']][false positive (not verified) (not pass threshold), 2 - ['mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_10.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_5_14_3_5.txt']]
Input-Output Pair 54: [pass wrong (not pass threshold), 11 - ['mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_6_9_4_1.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_7_7_5_1.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_7_7_5_10.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_7_7_5_2.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_7_7_5_3.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_7_7_5_4.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_7_7_5_5.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_7_7_5_6.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_7_7_5_7.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_7_7_5_8.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_7_7_5_9.txt']][false positive (not verified) (not pass threshold), 8 - ['mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_6_9_4_10.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_6_9_4_2.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_6_9_4_3.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_6_9_4_4.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_6_9_4_5.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_6_9_4_6.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_6_9_4_8.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_6_9_4_9.txt']][false positive (not verified) (not pass threshold), 1 - ['mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_6_9_4_7.txt']]
4_14_2 - 9_9_5
Input-Output Pair 0: [Failure revealed! (not verified) (not pass threshold), 10 - ['mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_1.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_10.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_2.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_3.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_4.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_5.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_6.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_7.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_8.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_9.txt']][pass wrong (not verified) (not pass threshold), 5 - ['mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_9_9_5_1.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_9_9_5_2.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_9_9_5_3.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_9_9_5_4.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_9_9_5_5.txt']]
Input-Output Pair 1: [Failure revealed! (not verified) (not pass threshold), 10 - ['mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_1.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_10.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_2.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_3.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_4.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_5.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_6.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_7.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_8.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_9.txt']][pass wrong (not verified) (not pass threshold), 5 - ['mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_9_9_5_1.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_9_9_5_2.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_9_9_5_3.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_9_9_5_4.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_9_9_5_5.txt']]
Input-Output Pair 2: [Failure revealed! (not verified) (not pass threshold), 9 - ['mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_10.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_2.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_3.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_4.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_5.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_6.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_7.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_8.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_9.txt']][pass wrong (not verified) (not pass threshold), 5 - ['mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_9_9_5_1.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_9_9_5_2.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_9_9_5_3.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_9_9_5_4.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_9_9_5_5.txt']][false positive (not verified) (not pass threshold), 1 - ['mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_1.txt']]
Input-Output Pair 3: [pass correct (not pass threshold), 14 - ['mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_1.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_10.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_2.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_3.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_4.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_5.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_6.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_7.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_8.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_9.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_9_9_5_1.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_9_9_5_2.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_9_9_5_3.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_9_9_5_5.txt']][false positive (not verified) (not pass threshold), 1 - ['mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_9_9_5_4.txt']]
Input-Output Pair 4: [Failure revealed! (not verified) (not pass threshold), 9 - ['mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_10.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_2.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_3.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_4.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_5.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_6.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_7.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_8.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_9.txt']][pass wrong (not verified) (not pass threshold), 5 - ['mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_9_9_5_1.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_9_9_5_2.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_9_9_5_3.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_9_9_5_4.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_9_9_5_5.txt']][false positive (not verified) (not pass threshold), 1 - ['mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_1.txt']]
Input-Output Pair 5: [Failure revealed! (not verified) (not pass threshold), 9 - ['mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_10.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_2.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_3.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_4.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_5.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_6.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_7.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_8.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_9.txt']][false positive (not verified) (not pass threshold), 4 - ['mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_9_9_5_2.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_9_9_5_3.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_9_9_5_4.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_9_9_5_5.txt']][false positive (not verified) (not pass threshold), 1 - ['mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_1.txt']][pass wrong (not verified) (not pass threshold), 1 - ['mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_9_9_5_1.txt']]
Input-Output Pair 6: [Failure revealed! (not verified) (not pass threshold), 9 - ['mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_10.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_2.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_3.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_4.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_5.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_6.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_7.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_8.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_9.txt']][false positive (not verified) (not pass threshold), 4 - ['mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_9_9_5_2.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_9_9_5_3.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_9_9_5_4.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_9_9_5_5.txt']][false positive (not verified) (not pass threshold), 1 - ['mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_1.txt']][pass wrong (not verified) (not pass threshold), 1 - ['mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_9_9_5_1.txt']]
Input-Output Pair 7: [Failure revealed! (not verified) (not pass threshold), 9 - ['mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_10.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_2.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_3.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_4.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_5.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_6.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_7.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_8.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_9.txt']][pass wrong (not verified) (not pass threshold), 5 - ['mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_9_9_5_1.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_9_9_5_2.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_9_9_5_3.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_9_9_5_4.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_9_9_5_5.txt']][false positive (not verified) (not pass threshold), 1 - ['mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_1.txt']]
Input-Output Pair 8: [Failure revealed! (not verified) (not pass threshold), 10 - ['mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_1.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_10.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_2.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_3.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_4.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_5.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_6.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_7.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_8.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_9.txt']][false positive (not verified) (not pass threshold), 4 - ['mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_9_9_5_2.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_9_9_5_3.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_9_9_5_4.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_9_9_5_5.txt']][pass wrong (not verified) (not pass threshold), 1 - ['mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_9_9_5_1.txt']]
Input-Output Pair 9: [Failure revealed! (not verified) (not pass threshold), 10 - ['mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_1.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_10.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_2.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_3.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_4.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_5.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_6.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_7.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_8.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_9.txt']][pass wrong (not verified) (not pass threshold), 4 - ['mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_9_9_5_1.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_9_9_5_2.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_9_9_5_3.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_9_9_5_5.txt']][false positive (not verified) (not pass threshold), 1 - ['mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_9_9_5_4.txt']]
Input-Output Pair 10: [Failure revealed! (not verified) (not pass threshold), 9 - ['mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_10.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_2.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_3.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_4.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_5.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_6.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_7.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_8.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_9.txt']][false positive (not verified) (not pass threshold), 4 - ['mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_9_9_5_2.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_9_9_5_3.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_9_9_5_4.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_9_9_5_5.txt']][false positive (not verified) (not pass threshold), 1 - ['mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_1.txt']][pass wrong (not verified) (not pass threshold), 1 - ['mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_9_9_5_1.txt']]
Input-Output Pair 11: [Failure revealed! (not verified) (not pass threshold), 9 - ['mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_10.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_2.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_3.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_4.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_5.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_6.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_7.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_8.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_9.txt']][false positive (not verified) (not pass threshold), 4 - ['mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_9_9_5_2.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_9_9_5_3.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_9_9_5_4.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_9_9_5_5.txt']][false positive (not verified) (not pass threshold), 1 - ['mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_1.txt']][pass wrong (not verified) (not pass threshold), 1 - ['mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_9_9_5_1.txt']]
Input-Output Pair 12: [Failure revealed! (not verified) (not pass threshold), 9 - ['mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_10.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_2.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_3.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_4.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_5.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_6.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_7.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_8.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_9.txt']][false positive (not verified) (not pass threshold), 4 - ['mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_9_9_5_2.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_9_9_5_3.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_9_9_5_4.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_9_9_5_5.txt']][false positive (not verified) (not pass threshold), 1 - ['mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_1.txt']][pass wrong (not verified) (not pass threshold), 1 - ['mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_9_9_5_1.txt']]
Input-Output Pair 13: [Failure revealed! (not verified) (not pass threshold), 9 - ['mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_10.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_2.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_3.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_4.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_5.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_6.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_7.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_8.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_9.txt']][false positive (not verified) (not pass threshold), 4 - ['mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_9_9_5_2.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_9_9_5_3.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_9_9_5_4.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_9_9_5_5.txt']][false positive (not verified) (not pass threshold), 1 - ['mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_1.txt']][pass wrong (not verified) (not pass threshold), 1 - ['mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_9_9_5_1.txt']]
Input-Output Pair 14: [pass correct (not pass threshold), 15 - ['mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_1.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_10.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_2.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_3.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_4.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_5.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_6.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_7.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_8.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_4_14_2_9.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_9_9_5_1.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_9_9_5_2.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_9_9_5_3.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_9_9_5_4.txt', 'mutation/subjects/output/c1/ast/evo27/starchat/evo27_15_ast_9_9_5_5.txt']]
